life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,is_infinite
True,False,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,True,15,11,87,0.011494252873563218,False
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,21,7,120,0.008333333333333333,False
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,4,8,26,0.038461538461538464,True
True,True,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,9,17,47,0.02127659574468085,False
True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,10,13,53,0.018867924528301886,True
True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,22,7,120,0.008333333333333333,False
False,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,False,False,14,16,78,0.01282051282051282,True
True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,21,6,117,0.008547008547008548,True
True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True,True,11,17,58,0.017241379310344827,False
False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,7,10,44,0.022727272727272728,True
False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,True,False,True,True,False,True,False,False,13,12,73,0.0136986301369863,False
False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,7,15,48,0.020833333333333332,False
False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,4,6,26,0.038461538461538464,False
False,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,16,10,95,0.010526315789473684,False
False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,5,8,34,0.029411764705882353,False
False,False,True,True,False,False,True,True,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,True,16,10,94,0.010638297872340425,True
False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,4,7,23,0.043478260869565216,False
False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,17,9,100,0.01,True
True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,False,20,9,112,0.008928571428571428,False
False,False,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,True,True,False,True,True,True,False,True,16,10,92,0.010869565217391304,False
True,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,False,False,True,False,14,10,87,0.011494252873563218,False
