board_representation,random_agent_final_score_20_gen,random_agent_final_score_50_gen,maximizing_neighbors_agent_final_score_20_gen,maximizing_neighbors_agent_final_score_50_gen,minimizing_neighbors_agent_final_score_20_gen,minimizing_neighbors_agent_final_score_50_gen,idealizing_neighbors_agent_final_score_20_gen,idealizing_neighbors_agent_final_score_50_gen,without_agent_final_score_20_gen,without_agent_final_score_50_gen,is_infinite_without_interference
"| width: 5, height: 5, live_cells: {(4, 0), (3, 4), (3, 1), (0, 2), (1, 0), (1, 3), (4, 2), (3, 3), (0, 1), (1, 2), (2, 1), (3, 2), (4, 4), (0, 0), (1, 1), (0, 3), (2, 0), (1, 4), (2, 3)} |",0,0,8,8,0,0,9,9,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (3, 4), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 3), (0, 1), (2, 4), (0, 4), (2, 1), (3, 2), (4, 1), (4, 4), (0, 0), (1, 1), (0, 3), (2, 0), (1, 4), (2, 3)} |",0,0,0,0,0,0,4,4,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (4, 3), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 0), (3, 3), (0, 1), (2, 4), (1, 2), (0, 4), (2, 1), (4, 1), (4, 4), (0, 0), (1, 1), (0, 3), (2, 0), (1, 4), (2, 3)} |",0,0,0,0,0,0,15,11,0,0,False
"| width: 5, height: 5, live_cells: {(4, 4), (2, 4), (1, 2), (2, 1), (3, 4), (0, 0), (3, 1), (1, 1), (2, 0), (4, 2), (3, 0), (1, 4), (3, 2)} |",8,0,6,6,0,0,16,16,6,6,True
"| width: 5, height: 5, live_cells: {(4, 4), (2, 4), (2, 1), (3, 4), (0, 3), (4, 2), (1, 0), (3, 2), (1, 3)} |",11,0,7,7,0,0,14,13,4,4,True
"| width: 5, height: 5, live_cells: {(3, 4), (4, 3), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 0), (0, 1), (2, 4), (1, 2), (0, 4), (2, 1), (3, 2), (4, 4), (0, 0), (1, 1), (0, 3), (2, 0), (1, 4), (2, 3)} |",5,0,0,0,0,0,11,14,0,0,False
"| width: 5, height: 5, live_cells: {(0, 1), (0, 4), (3, 4), (0, 0), (4, 3), (1, 1), (1, 4), (3, 0), (4, 2), (0, 2), (3, 3), (2, 2), (1, 0), (3, 2)} |",7,0,7,7,0,0,14,14,8,8,True
"| width: 5, height: 5, live_cells: {(0, 1), (2, 4), (0, 4), (3, 4), (0, 0), (1, 1), (3, 3), (1, 0), (1, 3)} |",0,0,7,7,0,0,13,11,0,0,False
"| width: 5, height: 5, live_cells: {(4, 0), (4, 3), (0, 3), (2, 0), (4, 2), (3, 0), (2, 2), (4, 1)} |",0,0,7,7,0,0,13,13,4,4,True
"| width: 5, height: 5, live_cells: {(0, 1), (2, 4), (1, 2), (4, 0), (4, 3), (0, 0), (1, 1), (2, 3), (3, 2), (4, 1)} |",7,0,10,4,0,0,17,14,0,0,False
"| width: 5, height: 5, live_cells: {(0, 1), (4, 0), (2, 1), (3, 4), (0, 0), (3, 1), (2, 0), (4, 2), (0, 2), (3, 3), (2, 2), (1, 3)} |",7,0,4,4,4,4,17,17,0,0,False
"| width: 5, height: 5, live_cells: {(1, 1), (1, 3)} |",0,0,0,0,0,0,0,0,0,0,False
"| width: 5, height: 5, live_cells: {(3, 4), (4, 3), (3, 1), (0, 2), (2, 2), (1, 0), (1, 3), (4, 2), (3, 0), (3, 3), (0, 1), (2, 4), (1, 2), (0, 4), (2, 1), (3, 2), (4, 1), (4, 4), (0, 0), (1, 1)} |",0,0,0,0,0,0,11,14,0,0,False
