life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,life_span_class
True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,False,True,True,True,17,10,95,0.010526315789473684,2
False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,7,11,47,0.02127659574468085,1
True,False,False,False,False,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,10,10,63,0.015873015873015872,0
True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,22,4,126,0.007936507936507936,0
False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,5,8,28,0.03571428571428571,0
False,True,False,True,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,12,15,73,0.0136986301369863,1
False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True,10,16,64,0.015625,0
True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,False,16,12,99,0.010101010101010102,1
False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,21,6,128,0.0078125,0
False,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,True,16,12,92,0.010869565217391304,1
False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,13,13,76,0.013157894736842105,1
False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,6,10,34,0.029411764705882353,0
False,True,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,True,14,12,76,0.013157894736842105,2
True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,19,7,107,0.009345794392523364,0
True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,11,14,65,0.015384615384615385,2
False,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,True,False,10,14,62,0.016129032258064516,2
False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,7,8,42,0.023809523809523808,0
True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,20,8,107,0.009345794392523364,0
True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,19,5,113,0.008849557522123894,0
False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False,8,9,47,0.02127659574468085,2
False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,5,10,29,0.034482758620689655,0
False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,8,12,44,0.022727272727272728,2
True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,7,12,34,0.029411764705882353,0
False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,18,8,104,0.009615384615384616,0
True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,20,7,115,0.008695652173913044,0
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,True,False,10,12,60,0.016666666666666666,1
True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,21,5,128,0.0078125,0
False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,6,18,0.05555555555555555,2
False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,4,4,23,0.043478260869565216,0
True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,False,True,False,True,True,17,7,100,0.01,0
True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,20,7,118,0.00847457627118644,0
True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,21,4,124,0.008064516129032258,0
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,13,0.07692307692307693,0
False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,6,8,31,0.03225806451612903,0
True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,18,6,108,0.009259259259259259,0
False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,6,13,36,0.027777777777777776,2
True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,12,12,74,0.013513513513513514,0
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,21,6,118,0.00847457627118644,0
True,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,13,34,0.029411764705882353,0
True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,4,3,17,0.058823529411764705,0
False,False,True,False,False,False,True,True,False,True,True,False,True,False,False,True,True,True,True,True,False,True,False,False,True,13,12,81,0.012345679012345678,1
False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,False,False,True,17,10,100,0.01,0
True,False,True,False,True,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,True,14,14,76,0.013157894736842105,2
True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,True,False,True,True,False,False,False,False,15,8,87,0.011494252873563218,0
False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,True,True,11,8,68,0.014705882352941176,2
True,False,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,18,8,105,0.009523809523809525,0
False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,22,5,128,0.0078125,0
False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,False,16,9,94,0.010638297872340425,0
False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,19,8,107,0.009345794392523364,0
False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,9,12,57,0.017543859649122806,0
False,True,False,True,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,15,11,86,0.011627906976744186,2
True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,True,False,True,False,19,7,112,0.008928571428571428,0
False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,7,12,47,0.02127659574468085,2
True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,22,5,123,0.008130081300813009,0
False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,9,15,52,0.019230769230769232,0
True,False,False,True,False,True,False,False,True,True,True,True,False,False,False,True,False,True,True,False,True,False,False,True,True,13,18,71,0.014084507042253521,1
True,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,9,13,45,0.022222222222222223,2
False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,22,4,128,0.0078125,0
False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,True,True,10,14,54,0.018518518518518517,2
True,True,False,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,18,6,110,0.00909090909090909,0
False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,True,True,True,True,False,True,True,True,True,False,15,13,89,0.011235955056179775,0
True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,20,7,117,0.008547008547008548,2
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,6,8,34,0.029411764705882353,0
True,False,True,True,False,False,True,True,False,False,False,True,True,True,True,False,True,True,False,False,True,True,False,False,False,13,9,82,0.012195121951219513,0
True,True,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,15,9,82,0.012195121951219513,2
True,True,True,False,True,True,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,True,16,12,89,0.011235955056179775,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,3,3,16,0.0625,0
False,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,18,7,105,0.009523809523809525,2
False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,False,9,12,60,0.016666666666666666,0
False,True,False,True,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,9,13,63,0.015873015873015872,2
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,3,2,11,0.09090909090909091,0
True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,False,13,12,82,0.012195121951219513,1
False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,True,False,False,False,False,8,11,47,0.02127659574468085,0
False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,False,7,11,44,0.022727272727272728,0
False,True,False,False,True,False,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,True,True,12,12,68,0.014705882352941176,2
False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,19,10,107,0.009345794392523364,0
False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,True,11,15,63,0.015873015873015872,2
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,4,5,19,0.05263157894736842,0
True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,18,10,100,0.01,2
False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,True,10,18,55,0.01818181818181818,2
True,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,13,14,74,0.013513513513513514,2
True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,18,8,102,0.00980392156862745,0
True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,4,19,0.05263157894736842,0
True,True,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,13,18,71,0.014084507042253521,0
True,True,False,True,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,16,12,90,0.011111111111111112,2
False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,True,12,12,70,0.014285714285714285,0
True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,True,17,9,97,0.010309278350515464,0
False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,20,8,120,0.008333333333333333,0
True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,22,4,123,0.008130081300813009,0
False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,6,12,34,0.029411764705882353,2
False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,8,14,50,0.02,1
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,21,7,118,0.00847457627118644,0
True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,6,6,26,0.038461538461538464,0
True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,False,False,18,9,105,0.009523809523809525,2
True,False,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False,True,False,False,15,7,92,0.010869565217391304,0
False,False,False,False,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,True,True,14,9,85,0.011764705882352941,2
True,True,True,True,True,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,17,9,89,0.011235955056179775,2
False,True,False,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,12,12,76,0.013157894736842105,2
True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,15,14,82,0.012195121951219513,2
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,5,7,27,0.037037037037037035,0
True,True,False,True,True,False,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,18,7,105,0.009523809523809525,0
False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,10,15,57,0.017543859649122806,0
True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,6,7,29,0.034482758620689655,2
True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,16,11,100,0.01,0
True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,17,9,93,0.010752688172043012,0
True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23,6,131,0.007633587786259542,0
False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,7,8,47,0.02127659574468085,0
